frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.98, 1, 0.00, 1.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.12, 0.00, 1.54, 0.00, 1.55, 0.00, 1.58, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2, 0, 0.040, 0.98, 1, 0.03, 1.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.59, 0.00, 1.58, 0.00, 1.13, 0.00, 0.96, 0.00, 0.21, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3, 0, 0.080, 0.98, 1, 0.03, 0.94, 0.00, 0.00, 0.00, 0.00, 0.00, 0.96, 0.00, 1.66, 0.00, 0.93, 0.00, 0.52, 0.21, 0.33, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4, 0, 0.120, 0.98, 1, 0.02, 0.78, 0.00, 0.00, 0.00, 0.00, 0.00, 1.14, 0.00, 1.82, 0.00, 0.95, 0.00, 0.29, 0.46, 0.35, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5, 0, 0.160, 0.98, 1, 0.01, 0.67, 0.00, 0.00, 0.00, 0.00, 0.00, 1.26, 0.00, 1.86, 0.00, 1.03, 0.00, 0.14, 0.69, 0.26, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6, 0, 0.200, 0.98, 1, 0.01, 0.60, 0.00, 0.00, 0.00, 0.00, 0.00, 1.34, 0.01, 1.85, 0.00, 1.05, 0.00, 0.05, 0.74, 0.14, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7, 0, 0.240, 0.98, 1, 0.01, 0.45, 0.00, 0.00, 0.00, 0.00, 0.00, 1.42, 0.01, 1.75, 0.00, 1.05, 0.00, 0.00, 0.71, 0.18, 0.01, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8, 0, 0.280, 0.98, 1, 0.10, 0.50, 0.00, 0.00, 0.00, 0.00, 0.00, 1.51, 0.01, 1.79, 0.00, 1.09, 0.00, 0.00, 0.71, 0.23, 0.22, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9, 0, 0.320, 0.98, 1, 0.18, 0.52, 0.00, 0.00, 0.00, 0.00, 0.00, 1.51, 0.00, 1.86, 0.00, 1.06, 0.00, 0.00, 0.63, 0.26, 0.63, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
10, 0, 0.360, 0.98, 1, 0.28, 0.60, 0.00, 0.00, 0.00, 0.00, 0.00, 1.46, 0.00, 1.94, 0.00, 1.06, 0.00, 0.00, 0.58, 0.23, 1.09, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
