frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.98, 1, 0.00, 0.84, 2.67, 0.00, 0.52, 0.00, 0.00, 1.85, 0.77, 0.82, 0.00, 0.00, 0.43, 0.00, 1.57, 1.20, 0.33, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00
2, 0, 0.033, 0.98, 1, 0.04, 0.73, 2.64, 0.00, 0.52, 0.00, 0.00, 1.93, 0.83, 0.98, 0.00, 0.00, 0.37, 0.00, 1.65, 1.21, 0.41, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00
3, 0, 0.067, 0.98, 1, 0.04, 0.46, 2.59, 0.00, 0.45, 0.00, 0.00, 2.01, 0.85, 1.03, 0.00, 0.00, 0.24, 0.00, 1.56, 1.24, 0.48, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00
4, 0, 0.100, 0.98, 1, 0.14, 0.32, 2.51, 0.00, 0.33, 0.00, 0.00, 2.02, 0.82, 1.04, 0.00, 0.00, 0.19, 0.00, 1.45, 1.28, 0.56, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00
5, 0, 0.133, 0.98, 1, 0.15, 0.30, 2.39, 0.00, 0.19, 0.00, 0.00, 2.08, 0.82, 0.86, 0.00, 0.00, 0.07, 0.00, 1.29, 1.38, 0.47, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00
6, 0, 0.167, 0.98, 1, 0.22, 0.54, 2.32, 0.00, 0.09, 0.00, 0.00, 2.18, 0.82, 0.79, 0.00, 0.00, 0.06, 0.00, 1.07, 1.49, 0.59, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00
7, 0, 0.200, 0.98, 1, 0.17, 0.54, 2.28, 0.00, 0.03, 0.00, 0.00, 2.30, 0.85, 0.78, 0.00, 0.01, 0.00, 0.00, 0.60, 1.65, 0.55, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00
8, 0, 0.234, 0.98, 1, 0.23, 0.59, 2.23, 0.00, 0.00, 0.00, 0.00, 2.39, 0.84, 0.83, 0.00, 0.12, 0.00, 0.00, 0.24, 1.75, 0.76, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00
9, 0, 0.267, 0.98, 1, 0.19, 0.44, 2.18, 0.00, 0.00, 0.00, 0.00, 2.35, 0.83, 0.86, 0.00, 0.19, 0.00, 0.00, 0.03, 1.89, 0.80, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00
10, 0, 0.300, 0.98, 1, 0.24, 0.66, 2.15, 0.00, 0.00, 0.00, 0.00, 2.28, 0.81, 0.86, 0.00, 0.30, 0.00, 0.00, 0.00, 1.90, 0.99, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00
