frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 1.44, 0.13, 0.24, 2.12, 1.41, 1.66, 0.00, 0.58, 0.00, 0.00, 0.00, 0.00, 0.31, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2, 0, 0.042, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 1.30, 0.17, 0.08, 1.97, 1.43, 1.68, 0.00, 0.65, 0.00, 0.00, 0.44, 0.00, 0.36, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3, 0, 0.083, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 1.24, 0.26, 0.00, 2.04, 1.44, 1.64, 0.00, 0.67, 0.00, 0.00, 0.62, 0.00, 0.34, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4, 0, 0.125, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 1.29, 0.25, 0.00, 2.02, 1.40, 1.57, 0.00, 0.64, 0.00, 0.00, 0.63, 0.00, 0.32, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5, 0, 0.167, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 1.36, 0.41, 0.00, 2.09, 1.39, 1.57, 0.05, 0.59, 0.00, 0.00, 0.63, 0.00, 0.26, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6, 0, 0.208, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 1.46, 0.45, 0.00, 1.99, 1.42, 1.68, 0.05, 0.70, 0.00, 0.00, 0.54, 0.00, 0.26, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7, 0, 0.250, 0.98, 1, 0.00, 0.17, 0.21, 0.00, 1.48, 0.83, 0.07, 2.02, 1.41, 2.11, 0.45, 0.79, 0.00, 0.00, 0.63, 0.00, 0.19, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8, 0, 0.292, 0.98, 1, 0.16, 0.43, 0.54, 0.00, 1.52, 1.03, 0.07, 1.99, 1.27, 2.78, 1.10, 0.80, 0.00, 0.00, 0.83, 0.14, 0.10, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9, 0, 0.333, 0.98, 1, 0.55, 0.80, 0.79, 0.00, 1.30, 1.25, 0.06, 1.86, 1.00, 3.19, 1.45, 0.56, 0.00, 0.00, 1.33, 0.18, 0.02, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
10, 0, 0.375, 0.77, 1, 0.59, 0.63, 1.14, 0.25, 1.33, 1.10, 0.00, 1.97, 0.85, 2.70, 1.05, 0.82, 0.11, 0.00, 1.50, 0.18, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
11, 0, 0.417, 0.88, 1, 0.44, 0.37, 1.42, 0.49, 1.36, 0.69, 0.00, 2.05, 0.78, 1.91, 0.35, 1.31, 0.41, 0.00, 1.25, 0.04, 0.23, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
12, 0, 0.458, 0.88, 1, 0.04, 0.00, 1.99, 0.95, 1.45, 0.29, 0.00, 2.35, 0.94, 1.32, 0.00, 2.09, 0.75, 0.00, 0.65, 0.00, 0.44, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
13, 0, 0.500, 0.88, 1, 0.00, 0.00, 2.63, 0.92, 1.13, 0.31, 0.00, 2.28, 0.80, 1.27, 0.00, 2.29, 1.10, 0.00, 0.29, 0.28, 0.44, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
14, 0, 0.542, 0.88, 1, 0.00, 0.00, 3.14, 1.19, 0.59, 0.45, 0.00, 2.11, 0.55, 1.23, 0.00, 2.16, 1.15, 0.00, 0.40, 0.42, 0.21, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
15, 0, 0.583, 0.98, 1, 0.00, 0.00, 3.45, 1.18, 0.21, 0.45, 0.00, 1.79, 0.16, 0.92, 0.00, 1.78, 1.19, 0.00, 0.65, 0.61, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00
16, 0, 0.625, 0.98, 1, 0.00, 0.00, 3.40, 1.31, 0.02, 0.18, 0.00, 1.60, 0.01, 0.49, 0.00, 1.69, 0.98, 0.00, 0.79, 0.68, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00
17, 0, 0.667, 0.98, 1, 0.18, 0.00, 3.30, 1.18, 0.02, 0.03, 0.00, 1.37, 0.00, 0.13, 0.00, 1.61, 0.96, 0.00, 0.68, 0.83, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
18, 0, 0.708, 0.98, 1, 0.42, 0.00, 2.74, 1.01, 0.00, 0.03, 0.00, 0.97, 0.09, 0.00, 0.23, 1.39, 0.76, 0.00, 0.90, 0.71, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
